x y z
-0.01254599 -0.039687610000000005 1.1534864900000001e-07
0.04507143 0.04025529 1.0251335400000001e-07
0.023199390000000004 0.0005252400000000001 1.39436912e-07
0.00986585 0.03264575 1.17791764e-07
-0.03439814 -0.01799504 1.1737903700000001e-07
-0.03440055 0.03955232 9.8162623e-08
-0.044191640000000004 -0.011079829999999999 1.0530705900000001e-07
0.03661761 -0.048916230000000005 1.09041653e-07
0.0101115 0.0405382 1.0778562700000001e-07
0.020807259999999998 -0.04087133 1.1845958500000001e-07
-0.04794155 -0.01806864 1.01332668e-07
0.04699099 0.045006199999999996 1.03374893e-07
0.03324426 0.045060710000000004 1.01349486e-07
-0.02876609 0.00734379 1.1864480600000001e-07
-0.0318175 0.013183720000000001 1.1157211200000001e-07
-0.03165955 -0.005155450000000001 1.15644166e-07
-0.01957578 -0.02067892 1.29153358e-07
0.0024756400000000003 -0.01713355 1.4424885900000003e-07
-0.0068055 0.01725185 1.29547786e-07
-0.020877089999999997 0.025237449999999998 1.11729269e-07
0.01118529 0.0291579 1.1798952300000002e-07
-0.036050610000000004 0.02896181 1.06152988e-07
-0.02078554 -0.04087939000000001 1.1218488600000002e-07
-0.01336382 -0.00055797 1.37569192e-07
-0.004393 -0.044244120000000005 1.1523792e-07
0.0285176 0.00495289 1.27566435e-07
-0.03003262 -0.00584695 1.1543255600000002e-07
0.00142344 0.03877042 1.09239222e-07
0.00924146 -0.0149085 1.43996482e-07
-0.04535496 -0.0382933 1.0525769300000001e-07
0.010754490000000002 -0.03570083 1.27081754e-07
-0.03294759 0.02615106 1.0805018300000001e-07
-0.04349484000000001 0.01182181 1.04349806e-07
0.04488855 -0.03988773 1.07087221e-07
0.0465632 -0.04158932 1.13903914e-07
0.03083973 0.020096910000000003 1.16827254e-07
-0.01953862 -0.042723699999999996 1.1223100000000001e-07
-0.04023279 0.03218601 9.982319400000001e-08
0.0184233 0.020624220000000002 1.25451548e-07
-0.00598475 -0.04186512 1.1695242000000002e-07
-0.037796180000000006 -0.04151623 1.0458253e-07
-0.00048231000000000006 0.04866396 1.00870256e-07
-0.046561149999999996 -0.012572920000000001 1.05656172e-07
0.04093204 -0.01293579 1.1573699000000002e-07
-0.024122 0.03127996 1.0617984100000001e-07
0.01625223 0.04472486 1.04319053e-07
-0.01882889 0.04860011 9.885978400000001e-08
0.0020068 0.02533782 1.2738204900000001e-07
0.00467103 -0.01237404 1.42262084e-07
-0.03151455 -0.04164993 1.10101205e-07
0.04695846000000001 0.027714690000000004 1.07288901e-07
0.02751328 0.00584042 1.24665326e-07
0.04394989 -0.0075778 1.1414857900000001e-07
0.03948274 0.04063544 1.01522866e-07
0.00979 -0.03888025 1.17790821e-07
0.042187419999999996 -0.0007374899999999999 1.1429232300000001e-07
-0.04115075 -0.04886464 1.0172554e-07
-0.030401710000000002 -0.00313394 1.23822613e-07
-0.04547727 -0.04436967 1.05242144e-07
-0.01746697 -0.03811821 1.18485496e-07
-0.01113227 -0.03824738 1.2006805300000002e-07
-0.0228651 0.01492103 1.1898672800000001e-07
0.03287375 0.024604490000000003 1.1130426e-07
-0.01432467 0.00833688 1.36047969e-07
-0.02190655 0.046217249999999994 9.7321265e-08
0.00426961 -0.01251294 1.48957336e-07
-0.03590758 -0.021428790000000003 1.11508468e-07
0.030219700000000002 0.03685991 1.0523041900000001e-07
-0.04254494 -0.02764042 1.0779553400000001e-07
0.04868869 0.04632225 1.0086576200000001e-07
0.02722448 -0.048784549999999996 1.1016032400000001e-07
-0.03012843 0.04698788 1.0001917500000002e-07
-0.04944779 -0.04568401 1.0042092e-07
0.03154614 0.03911431 1.05698011e-07
0.020685730000000003 0.00277011 1.38819659e-07
0.02290072 0.049296480000000004 1.0053577300000002e-07
0.02712703 -0.04262034 1.1401265e-07
-0.042595530000000006 0.00538543 1.0456598800000001e-07
-0.01415343 0.04693025 1.02908582e-07
-0.03841309 0.00230978 1.10760137e-07
0.03631034 0.012939860000000001 1.1564571e-07
0.012329810000000002 0.01957487 1.3168613500000002e-07
-0.0169102 -0.00454589 1.3559799300000002e-07
-0.04364416 0.012755810000000001 1.0172282800000002e-07
-0.018901770000000002 0.00843143 1.27019713e-07
-0.01748167 0.04011580000000001 1.0546995400000001e-07
0.02296062 -0.04545536 1.10542907e-07
0.01375575 -0.02190368 1.3958528999999998e-07
0.03872127 0.045041149999999995 9.6851817e-08
-0.00277851 0.03902638 1.12082489e-07
-0.03804058 -0.00443432 1.1271774300000001e-07
0.021324480000000003 0.01201326 1.30879794e-07
0.0260785 -0.02226188 1.25363502e-07
0.00612772 -0.03118788 1.29720885e-07
0.027096719999999998 -0.0036301600000000003 1.31769593e-07
-0.00062044 -0.01466478 1.47946184e-07
0.00227328 0.00836561 1.44761115e-07
-0.0072458999999999996 -0.04222654000000001 1.1695166000000001e-07
-0.04745809000000001 0.04743948 9.402767000000001e-08
-0.03921086 0.04862107 9.5560228e-08
-0.04685708 0.01981617 1.0157138100000001e-07
0.01364104 0.0036096400000000003 1.4029501e-07
-0.0185644 -0.01904724 1.2691080200000001e-07
0.00085707 0.0313795 1.1842183e-07
0.04075665 0.018473120000000003 1.11298378e-07
-0.02507078 -0.03373831 1.1414190300000001e-07
-0.008961710000000001 0.04109272 1.0588983700000001e-07
0.025555110000000002 0.03225372 1.1126112600000001e-07
-0.02712018 0.044979990000000004 9.798884400000001e-08
-0.04230201 0.02257195 1.00686675e-07
-0.02102485 0.01134152 1.26186697e-07
-0.03387787 -0.008175700000000001 1.14479188e-07
0.042969770000000004 0.04327285 1.0185751500000001e-07
0.030812040000000002 0.03660639 1.02544315e-07
0.01334038 -0.04547813 1.17014288e-07
0.03714606 -0.0473633 1.1044646000000001e-07
0.030367210000000002 -0.01235366 1.27508873e-07
-0.03134299 0.03105533 1.06037672e-07
0.0392559 0.04872761 1.03332311e-07
0.00393422 -0.03495831 1.2704238e-07
0.03074402 0.00941307 1.1992568000000002e-07
0.03960913 -0.011910909999999999 1.1550815e-07
-0.01819965 0.04699144 9.896664e-08
-0.038994810000000005 0.03421189 9.9670518e-08
-0.02720648 0.03383287 1.05504255e-07
-0.00728922 -0.0031306800000000003 1.4509872300000002e-07
0.03180148 -0.008518050000000001 1.26623645e-07
0.03607306 -0.02265929 1.1660426e-07
-0.04930479 -0.044362450000000005 1.014097e-07
0.00107473 0.03647224 1.0868903400000002e-07
-0.0082589 0.0312901 1.1317998800000001e-07
-0.027789220000000003 0.04997177 9.4514079e-08
-0.03801346 0.04966368 9.368491000000001e-08
-0.01623848 0.005543169999999999 1.36996254e-07
0.04429097 0.02689874 1.04011586e-07
-0.01767971 0.04447657000000001 1.06866074e-07
0.0018790599999999999 0.03496474 1.1406673700000001e-07
0.0203019 -0.02526519 1.29131015e-07
-0.013637040000000001 -0.004945590000000001 1.38989253e-07
0.04717821 -0.03708406 1.1058286300000001e-07
